"NumeroBeneficiaire","Civilite","Nom","Prenom","NomComplet","Email","Telephone","Adresse1","Adresse2","NPA","Ville","DateNaissance","Besoins","Referent","Horaires","DateDebut","Historique","Statut","RGPDConsentement","RGPDDateConsentement","SourceID"
"BNF-00008","Madame","Fran̤ois","Daniel","Fran̤ois Daniel","daniel.franacois@exemple.ch","410221882172","Chemin du Moulin 91","","1228","PLAN-LES-OUATES","20/10/1972 00:00:00","","","","01/09/2019 00:00:00","","Actif","Oui","2025-12-07 15:02:53","8"
"BNF-00009","Madame","Martinez","Christian","Martinez Christian","christian.martinez@mail.ch","410221591951","Chemin des Vignes 27","","1206","GENEVE","13/02/1990 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","9"
"BNF-00012","Madame","Legrand","Jacques","Legrand Jacques","jacques.legrand@contact.ch","410223939411","Avenue de la Libert̩ 96","","1228","PLAN-LES-OUATES","14/07/1987 00:00:00","","","","01/03/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","12"
"BNF-00013","Madame","Garnier","Andr̩","Garnier Andr̩","andrae.garnier@test.ch","410226843813","Avenue de France 27","","1204","GENEVE","08/04/1958 00:00:00","","","","31/10/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","13"
"BNF-00014","Madame","Faure","C̩line","Faure C̩line","caeline.faure@email.ch","410227546726","Chemin des Pins 65","","1228","PLAN-LES-OUATES","18/01/1989 00:00:00","","","","10/10/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","14"
"BNF-00019","Madame","Rousseau","St̩phanie","Rousseau St̩phanie","staephanie.rousseau@exemple.ch","410226839273","Chemin des Pins 98","","1217","MEYRIN","02/02/1989 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","19"
"BNF-00020","Madame","Blanc","Corinne","Blanc Corinne","corinne.blanc@mail.ch","410227415629","Avenue du Lac 89","","1201","GENEVE","01/04/1971 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","20"
"BNF-00030","Madame","Guerin","Brigitte","Guerin Brigitte","brigitte.guerin@contact.ch","410226201487","Route de Gen̬ve 71","","1203","GENEVE","11/03/1954 00:00:00","","","","01/01/2010 00:00:00","","Actif","Oui","2025-12-07 15:02:53","30"
"BNF-00039","Madame","Muller","Dominique","Muller Dominique","dominique.muller@test.ch","410229803698","Route des Acacias 32","","1207","GENEVE","24/06/1961 00:00:00","","","","01/06/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","39"
"BNF-00040","Madame","Henry","Eric","Henry Eric","eric.henry@email.ch","410224062797","Chemin des Fleurs 42","","1213","PETIT-LANCY","24/09/1988 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","40"
"BNF-00041","Madame","Roussel","Pascal","Roussel Pascal","pascal.roussel@exemple.ch","410228558329","Chemin de Bellevue 29","","1208","GENEVE","17/12/1975 00:00:00","","","","01/01/2014 00:00:00","","Actif","Oui","2025-12-07 15:02:53","41"
"BNF-00049","Monsieur","Nicolas","Olivier","Nicolas Olivier","olivier.nicolas@mail.ch","410222987559","Avenue Victor Hugo 91","","1204","GENEVE","25/08/1961 00:00:00","","","","22/04/2020 00:00:00","","Actif","Oui","2025-12-07 15:02:53","49"
"BNF-00052","Monsieur","Perrin","Bruno","Perrin Bruno","bruno.perrin@contact.ch","410225392316","Chemin des Pins 53","","1209","GENEVE","21/11/1981 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","52"
"BNF-00056","Monsieur","Meyer","Vincent","Meyer Vincent","vincent.meyer@test.ch","410227453017","Rue du Commerce 74","","1228","PLAN-LES-OUATES","17/10/1974 00:00:00","","","","10/10/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","56"
"BNF-00059","Monsieur","Clement","Agn̬s","Clement Agn̬s","agnaes.clement@email.ch","410222214314","Rue de la Fontaine 58","","1207","GENEVE","26/01/1991 00:00:00","","","","01/01/2015 00:00:00","","Actif","Oui","2025-12-07 15:02:53","59"
"BNF-00083","Madame","Dufour","Genevi̬ve","Dufour Genevi̬ve","geneviaeve.dufour@exemple.ch","410222092961","Route de Lausanne 92","","1228","PLAN-LES-OUATES","12/07/1980 00:00:00","","","","22/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","83"
"BNF-00084","Monsieur","Fontaine","V̩ronique","Fontaine V̩ronique","vaeronique.fontaine@mail.ch","410221701122","Avenue de la Libert̩ 41","","1209","GENEVE","14/08/1940 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","84"
"BNF-00085","Madame","Chevalier","Chantal","Chevalier Chantal","chantal.chevalier@contact.ch","410226578667","Avenue du Lac 56","","1204","GENEVE","20/12/1949 00:00:00","","","","22/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","85"
"BNF-00086","Monsieur","Robin","Jacqueline","Robin Jacqueline","jacqueline.robin@test.ch","410224091714","Boulevard du Rh̫ne 36","","1208","GENEVE","24/05/1988 00:00:00","","","","22/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","86"
"BNF-00087","Madame","Martin","Robert","Martin Robert","robert.martin@email.ch","410223007756","Chemin de la For̻t 28","","1214","VERNIER","05/09/1994 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","87"
"BNF-00088","Madame","Bernard","Ren̩","Bernard Ren̩","renae.bernard@exemple.ch","410227379669","Route des Acacias 96","","1217","MEYRIN","05/03/1984 00:00:00","","","","22/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","88"
"BNF-00089","Madame","Dubois","Georges","Dubois Georges","georges.dubois@mail.ch","410222407880","Route des Acacias 96","","1218","GRAND-SACONNEX","21/01/1994 00:00:00","","","","22/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","89"
"BNF-00090","Madame","Thomas","Henri","Thomas Henri","henri.thomas@contact.ch","410228357811","Rue de la Fontaine 4","","1207","GENEVE","17/08/1943 00:00:00","","","","22/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","90"
"BNF-00091","Madame","Robert","Louis","Robert Louis","louis.robert@test.ch","410224617298","Route de Meyrin 60","","1227","CAROUGE","20/09/1993 00:00:00","","","","22/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","91"
"BNF-00092","Monsieur","Petit","Sophie","Petit Sophie","sophie.petit@email.ch","410223992211","Avenue de la Source 21","","1200","GENEVE","27/08/1958 00:00:00","","","","22/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","92"
"BNF-00093","Madame","Durand","Marie","Durand Marie","marie.durand@exemple.ch","410225876695","Avenue Victor Hugo 32","","1208","GENEVE","08/03/1969 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","93"
"BNF-00094","Monsieur","Leroy","Isabelle","Leroy Isabelle","isabelle.leroy@mail.ch","410229257676","Rue des Ecoles 67","","1200","GENEVE","01/08/1958 00:00:00","","","","22/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","94"
"BNF-00095","Monsieur","Moreau","Catherine","Moreau Catherine","catherine.moreau@contact.ch","410226614825","Avenue du Lac 66","","1202","GENEVE","07/08/1961 00:00:00","","","","22/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","95"
"BNF-00097","Madame","Simon","Nathalie","Simon Nathalie","nathalie.simon@test.ch","410223082552","Avenue de la Source 11","","1208","GENEVE","23/11/1963 00:00:00","","","","22/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","97"
"BNF-00098","Monsieur","Laurent","Pierre","Laurent Pierre","pierre.laurent@email.ch","410225562652","Rue de la Gare 39","","1227","CAROUGE","17/06/1971 00:00:00","","","","22/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","98"
"BNF-00099","Monsieur","Lefebvre","Jean","Lefebvre Jean","jean.lefebvre@exemple.ch","410221487461","Chemin de Bellevue 6","","1206","GENEVE","09/04/1983 00:00:00","","","","22/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","99"
"BNF-00100","Madame","Michel","Marc","Michel Marc","marc.michel@mail.ch","410227608598","Rue du Parc 98","","1203","GENEVE","27/11/1948 00:00:00","","","","22/09/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","100"
"BNF-00102","Madame","Garcia","Philippe","Garcia Philippe","philippe.garcia@contact.ch","410222134283","Avenue du Lac 9","","1228","PLAN-LES-OUATES","04/03/1941 00:00:00","","","","03/10/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","102"
"BNF-00103","Madame","David","Laurent","David Laurent","laurent.david@test.ch","410221241479","Route des Acacias 98","","1227","CAROUGE","19/04/1963 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","103"
"BNF-00104","Madame","Bertrand","Julie","Bertrand Julie","julie.bertrand@email.ch","410221166387","Avenue Victor Hugo 90","","1204","GENEVE","26/07/1961 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","104"
"BNF-00105","Madame","Roux","Christine","Roux Christine","christine.roux@exemple.ch","410225879234","Route des Acacias 53","","1218","GRAND-SACONNEX","11/11/1970 00:00:00","","","","07/11/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","105"
"BNF-00107","Madame","Vincent","Sylvie","Vincent Sylvie","sylvie.vincent@mail.ch","410221302115","Route des Acacias 11","","1206","GENEVE","10/04/1956 00:00:00","","","","05/10/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","107"
"BNF-00108","Madame","Fournier","Sandrine","Fournier Sandrine","sandrine.fournier@contact.ch","410229892279","Avenue des Champs 37","","1213","PETIT-LANCY","03/05/1996 00:00:00","","","","05/10/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","108"
"BNF-00110","Madame","Morel","Val̩rie","Morel Val̩rie","valaerie.morel@test.ch","410225799025","Avenue de la Source 55","","1228","PLAN-LES-OUATES","07/10/1955 00:00:00","","","","06/10/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","110"
"BNF-00111","Madame","Girard","Michel","Girard Michel","michel.girard@email.ch","410224042824","Avenue des Alpes 59","","1209","GENEVE","27/06/1993 00:00:00","","","","06/10/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","111"
"BNF-00114","Madame","Andr̩","Bernard","Andr̩ Bernard","bernard.andrae@exemple.ch","410224668417","Boulevard du Rh̫ne 47","","1213","PETIT-LANCY","07/11/1986 00:00:00","","","","13/10/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","114"
"BNF-00115","Madame","Mercier","Alain","Mercier Alain","alain.mercier@mail.ch","410224246565","Route de Ferney 36","","1203","GENEVE","22/11/1962 00:00:00","","","","31/10/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","115"
"BNF-00116","Madame","Dupont","Fran̤ois","Dupont Fran̤ois","franacois.dupont@contact.ch","410229111835","Avenue des Alpes 60","","1218","GRAND-SACONNEX","26/04/1965 00:00:00","","","","14/11/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","116"
"BNF-00119","Madame","Lambert","Thierry","Lambert Thierry","thierry.lambert@test.ch","410229387291","Avenue des Champs 97","","1217","MEYRIN","16/08/1967 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","119"
"BNF-00121","Madame","Bonnet","Anne","Bonnet Anne","anne.bonnet@email.ch","410222875150","Chemin de la Colline 80","","1206","GENEVE","20/06/1941 00:00:00","","","","31/10/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","121"
"BNF-00122","Madame","Fran̤ois","Martine","Fran̤ois Martine","martine.franacois@exemple.ch","410222398048","Chemin des Vignes 7","","1218","GRAND-SACONNEX","03/06/1966 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","122"
"BNF-00131","Monsieur","Martinez","Fran̤oise","Martinez Fran̤oise","franacoise.martinez@mail.ch","410224329082","Avenue de la Source 26","","1201","GENEVE","17/03/1986 00:00:00","","","","17/11/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","131"
"BNF-00133","Madame","Legrand","Monique","Legrand Monique","monique.legrand@contact.ch","410228894188","Avenue de France 33","","1208","GENEVE","09/03/1959 00:00:00","","","","09/11/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","133"
"BNF-00134","Madame","Garnier","Nicole","Garnier Nicole","nicole.garnier@test.ch","410224856985","Chemin des Pins 24","","1209","GENEVE","28/08/1981 00:00:00","","","","10/11/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","134"
"BNF-00136","Madame","Faure","Patrick","Faure Patrick","patrick.faure@email.ch","410225437276","Rue du Stade 77","","1213","PETIT-LANCY","17/04/1967 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","136"
"BNF-00139","Madame","Rousseau","Daniel","Rousseau Daniel","daniel.rousseau@exemple.ch","410227899134","Rue de la Fontaine 82","","1227","CAROUGE","11/03/1994 00:00:00","","","","01/12/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","139"
"BNF-00140","Madame","Blanc","Christian","Blanc Christian","christian.blanc@mail.ch","410223509289","Rue de la Fontaine 6","","1213","PETIT-LANCY","21/04/1983 00:00:00","","","","23/11/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","140"
"BNF-00141","Madame","Guerin","Jacques","Guerin Jacques","jacques.guerin@contact.ch","410225828420","Avenue de la Libert̩ 61","","1204","GENEVE","14/04/1972 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","141"
"BNF-00146","Monsieur","Muller","Andr̩","Muller Andr̩","andrae.muller@test.ch","410222433759","Avenue de la Libert̩ 5","","1200","GENEVE","19/02/1979 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","146"
"BNF-00147","Madame","Henry","C̩line","Henry C̩line","caeline.henry@email.ch","410229829270","Rue du Parc 93","","1214","VERNIER","06/12/1941 00:00:00","","","","30/11/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","147"
"BNF-00149","Monsieur","Roussel","St̩phanie","Roussel St̩phanie","staephanie.roussel@exemple.ch","410228944680","Route de Meyrin 50","","1209","GENEVE","18/08/1948 00:00:00","","","","12/12/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","149"
"BNF-00150","Madame","Nicolas","Corinne","Nicolas Corinne","corinne.nicolas@mail.ch","410227229541","Route des Acacias 63","","1202","GENEVE","13/02/1997 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","150"
"BNF-00151","Madame","Perrin","Brigitte","Perrin Brigitte","brigitte.perrin@contact.ch","410227167915","Avenue de France 96","","1201","GENEVE","21/03/1952 00:00:00","","","","12/12/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","151"
"BNF-00154","Monsieur","Meyer","Dominique","Meyer Dominique","dominique.meyer@test.ch","410222655326","Route de Lausanne 39","","1205","GENEVE","27/01/1955 00:00:00","","","","16/01/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","154"
"BNF-00155","Madame","Clement","Eric","Clement Eric","eric.clement@email.ch","410224294739","Avenue de France 24","","1202","GENEVE","25/09/1980 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","155"
"BNF-00156","Madame","Dufour","Pascal","Dufour Pascal","pascal.dufour@exemple.ch","410229403476","Chemin des Vignes 9","","1218","GRAND-SACONNEX","20/12/1972 00:00:00","","","","08/12/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","156"
"BNF-00157","Monsieur","Fontaine","Olivier","Fontaine Olivier","olivier.fontaine@mail.ch","410224259531","Rue du Commerce 28","","1207","GENEVE","14/02/1961 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","157"
"BNF-00160","Madame","Chevalier","Bruno","Chevalier Bruno","bruno.chevalier@contact.ch","410227699447","Rue du Stade 64","","1206","GENEVE","10/11/1949 00:00:00","","","","12/12/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","160"
"BNF-00161","Madame","Robin","Vincent","Robin Vincent","vincent.robin@test.ch","410226417524","Chemin de la For̻t 25","","1203","GENEVE","21/01/1951 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","161"
"BNF-00164","Madame","Martin","Agn̬s","Martin Agn̬s","agnaes.martin@email.ch","410223199968","Chemin de la Colline 79","","1218","GRAND-SACONNEX","13/09/1973 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","164"
"BNF-00167","Madame","Bernard","Genevi̬ve","Bernard Genevi̬ve","geneviaeve.bernard@exemple.ch","410224724419","Avenue de France 44","","1201","GENEVE","10/08/1981 00:00:00","","","","23/01/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","167"
"BNF-00169","Monsieur","Dubois","V̩ronique","Dubois V̩ronique","vaeronique.dubois@mail.ch","410224223792","Rue de la Paix 39","","1208","GENEVE","25/10/1947 00:00:00","","","","09/01/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","169"
"BNF-00170","Madame","Thomas","Chantal","Thomas Chantal","chantal.thomas@contact.ch","410229965349","Rue de la Gare 69","","1208","GENEVE","04/10/1945 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","170"
"BNF-00173","Madame","Robert","Jacqueline","Robert Jacqueline","jacqueline.robert@test.ch","410229505333","Route de Lausanne 60","","1228","PLAN-LES-OUATES","24/07/1957 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","173"
"BNF-00175","Madame","Petit","Robert","Petit Robert","robert.petit@email.ch","410228665874","Avenue Victor Hugo 91","","1228","PLAN-LES-OUATES","20/11/1984 00:00:00","","","","01/01/2016 00:00:00","","Actif","Oui","2025-12-07 15:02:53","175"
"BNF-00176","Monsieur","Durand","Ren̩","Durand Ren̩","renae.durand@exemple.ch","410228692560","Rue du Commerce 89","","1200","GENEVE","23/04/1955 00:00:00","","","","19/01/2017 00:00:00","","Actif","Oui","2025-12-07 15:02:53","176"
"BNF-00179","Madame","Leroy","Georges","Leroy Georges","georges.leroy@mail.ch","410225574846","Avenue de la Source 57","","1218","GRAND-SACONNEX","23/08/1960 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","179"
"BNF-00180","Madame","Moreau","Henri","Moreau Henri","henri.moreau@contact.ch","410228911460","Chemin de Bellevue 31","","1204","GENEVE","20/07/1943 00:00:00","","","","","","Actif","Oui","2025-12-07 15:02:53","180"
