"NumeroBenevole","Civilite","Nom","Prenom","NomComplet","Email","Telephone","TelephoneMobile","Adresse1","Adresse2","NPA","Ville","DateNaissance","Langues","SituationPersonnelle","Formation","NotesGenerales","NotesInternes","Binome","Statut","DateEntree","Provenance","ProvenanceDetail","DisponibilitesPreferees","CentresInteret","Competences","RecevoirInvitations","ParticiperEvenements","DateCreation","DateDerniereMajProfil","RGPDConsentement","SourceID"
"BEN-00004","Madame","Bernard","Marie","Bernard Marie","marie.bernard@exemple.ch","410223858357","410774891624","Rue de la Fontaine 9","","1201","GENEVE","05/01/1983 00:00:00","FranÃ§ais","","","","","","Actif","","Site Lancy","","","","","Non","Non","21/09/2016 17:23:10","2025-12-07 15:02:53","Oui","4"
"BEN-00005","Monsieur","Dubois","Isabelle","Dubois Isabelle","isabelle.dubois@mail.ch","410226859895","410772957662","Rue de la Gare 77","","1206","GENEVE","01/10/1958 00:00:00","FranÃ§ais","","","","","","Ancien","01/01/2010 00:00:00","Déjà intégrés","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","5"
"BEN-00006","Madame","Thomas","Catherine","Thomas Catherine","catherine.thomas@contact.ch","410224583287","410767162179","Avenue de la LibertÃ© 94","","1205","GENEVE","28/06/1998 00:00:00","FranÃ§ais","","","","","","Ancien","01/01/2000 00:00:00","Déjà intégrés","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","6"
"BEN-00007","Monsieur","Robert","Nathalie","Robert Nathalie","nathalie.robert@test.ch","410222594714","410788321792","Route de GenÃ¨ve 27","","1201","GENEVE","21/01/1959 00:00:00","FranÃ§ais","","","","","","Actif","01/01/2010 00:00:00","Déjà intégrés","","","","","Oui","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","7"
"BEN-00008","Madame","Petit","Pierre","Petit Pierre","pierre.petit@email.ch","410229179658","410787078448","Avenue des Alpes 4","","1228","PLAN-LES-OUATES","02/03/1964 00:00:00","FranÃ§ais","","","","","","Ancien","01/01/2010 00:00:00","Déjà intégrés","","","","","Oui","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","8"
"BEN-00009","Madame","Durand","Jean","Durand Jean","jean.durand@exemple.ch","410227786938","410767009819","Rue des Acacias 61","","1217","MEYRIN","22/08/1984 00:00:00","FranÃ§ais","","","","","","Actif","01/01/2010 00:00:00","Déjà intégrés","","","","","Oui","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","9"
"BEN-00010","Madame","Leroy","Marc","Leroy Marc","marc.leroy@mail.ch","410224717144","410776866670","Rue du Stade 72","","1209","GENEVE","17/01/1956 00:00:00","FranÃ§ais","","","","","","Actif","01/02/2014 00:00:00","Déjà intégrés","","","","","Oui","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","10"
"BEN-00011","Madame","Moreau","Philippe","Moreau Philippe","philippe.moreau@contact.ch","410222485269","410786456878","Route de Ferney 88","","1206","GENEVE","16/04/1960 00:00:00","FranÃ§ais","","","","","","Ancien","01/03/2014 00:00:00","Déjà intégrés","","","","","Oui","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","11"
"BEN-00012","Madame","Simon","Laurent","Simon Laurent","laurent.simon@test.ch","410224151799","410766491720","Route des Acacias 89","","1217","MEYRIN","22/01/1969 00:00:00","FranÃ§ais","","","","","","En attente","22/02/2016 00:00:00","Déjà intégrés","","","","","Non","Non","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","12"
"BEN-00013","Madame","Laurent","Julie","Laurent Julie","julie.laurent@email.ch","410224371534","410794871012","Chemin des Vignes 34","","1218","GRAND-SACONNEX","21/12/1960 00:00:00","FranÃ§ais","","","","","","Actif","01/01/2013 00:00:00","Déjà intégrés","","","","","Oui","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","13"
"BEN-00014","Madame","Lefebvre","Christine","Lefebvre Christine","christine.lefebvre@exemple.ch","410228436988","410777504388","Avenue Victor Hugo 63","","1201","GENEVE","09/05/1962 00:00:00","FranÃ§ais","","","","","","Ponctuel","01/01/2012 00:00:00","Bénéficiaires","","","","","Non","Oui","22/09/2016 09:47:36","2025-12-07 15:02:53","Oui","14"
